REF_AREA,ACTIVITY,TIME_PERIOD,B1G,SAL,Produtividade_Trabalho
AUS,A,2015,40163.0,572.549,70.14770788177083
AUS,A,2016,48017.0,582.255,82.46730384453546
AUS,A,2017,45704.0,544.541,83.93123750094115
AUS,A,2018,41533.0,519.506,79.94710359456869
AUS,A,2019,40081.0,501.982,79.84549246785741
AUS,A,2020,48206.0,497.232,96.94870804775235
AUS,A,2021,62452.0,528.193,118.23708379323467
AUS,A,2022,66273.0,533.818,124.1490545466807
AUS,A,2023,54556.0,548.573,99.45075678168631
AUS,A,2024,62986.0,203.164,310.0253982004686
AUS,A01,2015,36449.1820119987,381.929,95.43444465332223
AUS,A01,2016,43933.3280897468,352.262,124.71776146659816
AUS,A01,2017,41604.3457659959,394.4,105.4876921044521
AUS,A01_02,2015,38281.1994645248,406.65,94.1379551568297
AUS,A01_02,2016,45774.0399431771,378.478,120.94240601349907
AUS,A01_02,2017,43496.1842441323,414.021,105.05791794168002
AUS,A02,2015,1832.01745252615,24.721,74.107740484857
AUS,A02,2016,1840.71185343027,26.216,70.21329926114853
AUS,A02,2017,1891.83847813642,19.621,96.41906519221345
AUS,A03,2015,1881.80053547523,18.787,100.16503622053708
AUS,A03,2016,2242.96005682293,21.226,105.67040689828183
AUS,A03,2017,2207.81575586772,23.867,92.5049547855918
AUS,B,2015,96187.0,481.307,199.84542090599138
AUS,B,2016,132404.0,489.51,270.4827276255848
AUS,B,2017,149702.0,535.881,279.35679749795196
AUS,B,2018,190557.0,253.038,753.0766129988381
AUS,B,2019,202484.0,260.13,778.3954176757775
AUS,B,2020,222489.0,261.796,849.8563767208055
AUS,B,2021,313986.0,281.518,1115.3318793114474
AUS,B,2022,349236.0,298.274,1170.856326733138
AUS,B,2023,292712.0,309.54,945.6354590682948
AUS,B,2024,257665.0,293.916,876.6620394942773
AUS,B05_06,2015,39751.0,149.734,265.4774466720985
AUS,B05_06,2016,62978.0,131.041,480.5976755366641
AUS,B05_06,2017,79841.0,182.571,437.3147980785557
AUS,B07_08,2015,48867.0,158.612,308.09144327037046
AUS,B07_08,2016,62688.0,214.227,292.62417902505285
AUS,B07_08,2017,62194.0,220.667,281.84549570166814
AUS,B09,2015,7569.0,128.3,58.99454403741231
AUS,B09,2016,6738.0,126.399,53.307383760947474
AUS,B09,2017,7667.0,129.865,59.0382320101644
AUS,BTE,2015,239180.0,249.929,956.9917856671294
AUS,BTE,2016,279431.0,250.501,1115.4885609239084
AUS,BTE,2017,303458.0,258.379,1174.46851330797
AUS,BTE,2018,349220.0,257.858,1354.3112876079083
AUS,BTE,2019,362930.0,254.272,1427.3297885728668
AUS,BTE,2020,386319.0,255.877,1509.7839977801834
AUS,BTE,2021,486419.0,268.038,1814.7389549243017
AUS,BTE,2022,537289.0,274.604,1956.5956795968013
AUS,BTE,2023,495087.0,276.449,1790.8800538254795
AUS,BTE,2024,465035.0,1399.885,332.1951446011637
AUS,BTNXL,2015,83.69364532152146,6824.498,0.012263707209163439
AUS,BTNXL,2016,87.94193525151815,6896.628000000001,0.01275143958054837
AUS,BTNXL,2017,89.63060005438092,6984.112,0.012833499814204142
AUS,BTNXL,2018,93.90850187345283,7216.335000000001,0.013013323504722663
AUS,BTNXL,2019,96.14847219650238,7356.215999999999,0.01307037098917465
AUS,BTNXL,2020,100.0,7127.918,0.014029342088391029
AUS,BTNXL,2021,109.17145753647158,7347.202,0.01485891602496727
AUS,BTNXL,2022,117.77449105172462,7730.188,0.015235656759153157
AUS,BTNXL,2023,118.55298213290956,7996.782,0.014825086157520557
AUS,BTNXL,2024,119.64291457407346,8083.877,0.014800189880928847
AUS,C,2015,98806.0,223.871,441.3523859722787
AUS,C,2016,99477.0,225.887,440.38390876854356
AUS,C,2017,103175.0,231.511,445.65916954269994
AUS,C,2018,106591.0,230.356,462.72291583462123
AUS,C,2019,109491.0,225.871,484.75014499426663
AUS,C,2020,113547.0,226.918,500.38780528649113
AUS,C,2021,123593.0,238.408,518.4096171269421
AUS,C,2022,135792.0,243.25,558.24049331963
AUS,C,2023,144087.0,243.021,592.8993790660066
AUS,C,2024,147758.0,911.244,162.1497644977635
AUS,C10,2015,19758.0,324.645,60.8603243542947
AUS,C10,2016,20030.0,346.57,57.79496205672736
AUS,C10,2017,20324.0,368.889,55.09516412796261
AUS,C10T12,2015,25443.0,379.931,66.96742303207688
AUS,C10T12,2016,25230.0,404.573,62.362045910132416
AUS,C10T12,2017,25312.0,428.981,59.004944274921264
AUS,C10_11,2017,25312.0,428.982,59.00480672848744
AUS,C11,2017,4988.0,60.093,83.00467608540096
AUS,C12,2017,0.0,0.0,
AUS,C13,2015,1307.53719687629,20.734,63.062467294120275
AUS,C13,2016,1286.87069314957,21.523,59.79048892578032
AUS,C13,2017,1340.54493696625,23.238,57.687621007240296
AUS,C13T15,2015,2434.0,45.41,53.600528517947595
AUS,C13T15,2016,2387.0,44.35,53.82187147688838
AUS,C13T15,2017,2460.0,54.122,45.45286574775507
AUS,C13_14,2015,1983.8150431566,44.22,44.8623935584939
AUS,C13_14,2016,1977.71706526145,40.906,48.34784787711949
AUS,C13_14,2017,2009.81699877999,50.914,39.47474169737184
AUS,C14,2015,676.277846280315,23.486,28.79493512221387
AUS,C14,2016,690.846372111878,19.383,35.64187030448734
AUS,C14,2017,669.272061813743,27.676,24.18239853352157
AUS,C15,2015,450.184956843402,1.189,378.6248585730883
AUS,C15,2016,409.282934738549,3.444,118.839411944991
AUS,C15,2017,450.183001220008,3.208,140.33135948254613
AUS,C16,2015,4299.0,63.518,67.68160206555622
AUS,C16,2016,4233.0,70.945,59.66593840298824
AUS,C16,2017,4673.0,107.739,43.373337417276936
AUS,C16T18,2015,9784.0,159.424,61.37093536732236
AUS,C16T18,2016,9695.0,176.559,54.91082301100482
AUS,C16T18,2017,10014.0,185.949,53.85347595308391
AUS,C17,2015,2607.0,27.851,93.60525654375067
AUS,C17,2016,2557.0,30.352,84.24486030574592
AUS,C17,2017,2640.0,26.247,100.58292376271574
AUS,C18,2015,2878.0,68.055,42.289324810814776
AUS,C18,2016,2905.0,75.263,38.59798307269176
AUS,C18,2017,2701.0,51.963,51.979292958451204
AUS,C19,2015,2441.0,12.152,200.87228439763004
AUS,C19,2016,2836.0,23.668,119.82423525435188
AUS,C19,2017,3260.0,13.533,240.89263282346857
AUS,C19T23,2015,23001.0,231.638,99.29717921929908
AUS,C19T23,2016,22902.0,228.945,100.03275895957545
AUS,C19T23,2017,24474.0,268.882,91.0213402161543
AUS,C20,2015,6105.21783307413,55.506,109.99203388956383
AUS,C20,2016,5316.44085527072,49.79,106.77728168850612
AUS,C20,2017,5334.33336969565,62.007,86.02792216516926
AUS,C20_21,2015,9581.0,91.057,105.21980737340347
AUS,C20_21,2016,8659.0,93.92,92.19548551959114
AUS,C20_21,2017,9118.0,123.229,73.99232323560202
AUS,C21,2015,3475.78216692587,35.551,97.7689000851135
AUS,C21,2016,3342.55914472928,44.13,75.74346577677952
AUS,C21,2017,3783.66663030435,61.222,61.80240159263581
AUS,C22,2015,4762.0,62.042,76.7544566583927
AUS,C22,2016,4766.0,45.941,103.74175573017565
AUS,C22,2017,4799.0,67.829,70.75144849548128
AUS,C22_23,2015,10979.0,128.429,85.48692273551923
AUS,C22_23,2016,11407.0,111.357,102.43630844940148
AUS,C22_23,2017,12096.0,132.12,91.55313351498637
AUS,C23,2015,6217.0,66.387,93.64785274225375
AUS,C23,2016,6641.0,65.417,101.51795404864178
AUS,C23,2017,7297.0,64.291,113.49955670311553
