DATAFLOW,FREQ,REF_AREA,ACTIVITY,MEASURE,PRICE_BASE,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,BASE_PER,UNIT_MULT,DECIMALS,EST_METHOD,OBS_STATUS
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,FRA,D_E,B1G,V,XDC,2016,41035.4,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,FRA,C29_30,B1G,V,XDC,2016,30976.8,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,FRA,C19T23,B1G,V,XDC,2016,48839.4,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,FRA,C31T33,B1G,V,XDC,2016,32764.1,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,FRA,D,B1G,V,XDC,2016,28036.7,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,FRA,F,B1G,V,XDC,2016,108197.5,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,FRA,C16T18,B1G,V,XDC,2016,11874.3,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,FRA,C13T15,B1G,V,XDC,2016,5550.2,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,FRA,A,B1G,V,XDC,2016,29861.4,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,FRA,L68A,B1G,V,XDC,2016,173650.7,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,FRA,C26T28,B1G,V,XDC,2016,30469.9,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,FRA,_T,B1G,V,XDC,2016,1983737.7,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,FRA,C10T12,B1G,V,XDC,2016,38758.4,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,FRA,E36,B1G,V,XDC,2016,2991.6,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,FRA,C24_25,B1G,V,XDC,2016,27636.5,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,FRA,BTE,B1G,V,XDC,2016,269947.6,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,FRA,C,B1G,V,XDC,2016,226869.6,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,FRA,E,B1G,V,XDC,2016,12998.7,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,FRA,B,B1G,V,XDC,2016,2042.6,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,ITA,L68A,B1G,V,XDC,2016,140995.1,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,KOR,D,B1G,V,XDC,2016,36124600.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,LVA,U,B1G,V,XDC,2016,0.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,SVN,E37T39,B1G,V,XDC,2016,190.437723,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,SVN,E,B1G,V,XDC,2016,330.81094,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,A02,B1G,V,XDC,2016,73454.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,C22,B1G,V,XDC,2016,477716.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,G47,B1G,V,XDC,2016,1289527.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,GTN,B1G,V,XDC,2016,13924718.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,R,B1G,V,XDC,2016,399052.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,T,B1G,V,XDC,2016,6410.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,C27,B1G,V,XDC,2016,317657.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,R93,B1G,V,XDC,2016,120835.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,C28,B1G,V,XDC,2016,640187.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,M_N,B1G,V,XDC,2016,2888990.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,C29_30,B1G,V,XDC,2016,1584836.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,M,B1G,V,XDC,2016,1802189.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,J59_60,B1G,V,XDC,2016,138480.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,N79,B1G,V,XDC,2016,32678.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,A,B1G,V,XDC,2016,1404444.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,M72,B1G,V,XDC,2016,366081.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,H,B1G,V,XDC,2016,2032552.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,S,B1G,V,XDC,2016,467361.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,K65,B1G,V,XDC,2016,156224.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,C22_23,B1G,V,XDC,2016,710533.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,L,B1G,V,XDC,2016,2735539.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,G45,B1G,V,XDC,2016,338508.0,,6,1,,A
