TIME_PERIOD,ACTIVITY,B1G,SAL,Produtividade_Trabalho,REF_AREA,Prod_Projetada_Contrafactual,Choque_Estrutural_Percentual
2015,A,277397.499,3929.4022999999997,70.59534194297184,BLOCO_OCDE,69.05461557233616,2.2311707303934503
2016,A,262132.944,4006.73,65.42316153072456,BLOCO_OCDE,68.4285260436186,-4.39197610507982
2017,A,280231.999,4085.1089,68.59841582191359,BLOCO_OCDE,67.80243651490105,1.1739685886326567
2018,A,281618.43700000003,4114.968,68.43757642829787,BLOCO_OCDE,67.17634698618372,1.8774903648356434
2019,A,277336.184,4204.7591,65.95768685059745,BLOCO_OCDE,66.55025745746616,-0.8904106903679931
2020,A,292193.463,4019.2321,72.69882796766078,BLOCO_OCDE,65.9241679287486,10.27644375615675
2021,A,322814.83900000004,3998.6979,80.72998937979287,BLOCO_OCDE,65.29807840003105,23.63302467374673
2022,A,409279.80882464803,4196.9217,97.51904802623505,BLOCO_OCDE,64.67198887131349,50.79024122836513
2023,A,390942.54550922196,4248.974099999999,92.00869111186675,BLOCO_OCDE,64.04589934259593,43.660549787413494
2024,A,39584.0,470.0752,84.20780334720912,BLOCO_OCDE,63.41980981387837,32.77839147474333
2025,A,38952.0,468.5187,83.13862392258835,BLOCO_OCDE,62.793720285160816,32.39958318289888
2015,A01,250799.773,2527.4,99.23232294057134,BLOCO_OCDE,95.25990957381941,4.170078876333161
2016,A01,234368.805,2614.7,89.63506520824569,BLOCO_OCDE,94.55716916522056,-5.205426516496525
2017,A01,253400.285,2737.0,92.58322433321155,BLOCO_OCDE,93.85442875662147,-1.3544426621639238
2018,A01,252948.40000000002,2674.7,94.57075559875875,BLOCO_OCDE,93.15168834802262,1.523394020980473
2019,A01,251609.243,2698.2,93.25077570232007,BLOCO_OCDE,92.44894793942376,0.8673195106792431
2020,A01,265414.89455942303,2646.9,100.27386548771129,BLOCO_OCDE,91.74620753082468,9.294834289495313
2021,A01,298894.731860836,2633.2,113.51007590036306,BLOCO_OCDE,91.04346712222582,24.67679394060842
2022,A01,347728.90785565,2300.7,151.14048239911767,BLOCO_OCDE,90.34072671362674,67.30049435867565
2023,A01,279975.257452535,2037.0,137.4448981112101,BLOCO_OCDE,89.63798630502788,53.33331746599119
2015,A01_02,271315.467,3702.4966013434005,73.27905902778058,BLOCO_OCDE,71.64049177464562,2.2872082708327524
2016,A01_02,255774.294,3775.58777800599,67.74423190210734,BLOCO_OCDE,70.84710861765961,-4.379680097175953
2017,A01_02,273896.5,3859.9633716569797,70.9583158252674,BLOCO_OCDE,70.0537254606736,1.291280882844137
2018,A01_02,272888.843806118,3886.99967292774,70.20552270861769,BLOCO_OCDE,69.2603423036876,1.3646776401793348
2019,A01_02,270523.503,3973.52454902464,68.08149783959533,BLOCO_OCDE,68.46695914670158,-0.5629887932956712
2020,A01_02,285999.78926715,3816.4904801580997,74.93790191644925,BLOCO_OCDE,67.67357598971557,10.73436096806477
2021,A01_02,317505.677378202,3794.39901207354,83.67746153420313,BLOCO_OCDE,66.88019283272956,25.115460930987908
2022,A01_02,366993.326277709,1965.9419366330899,186.6755672887414,BLOCO_OCDE,66.08680967574332,182.47023604962925
2023,A01_02,297312.93702694704,1630.23213082178,182.37460261384692,BLOCO_OCDE,65.29342651875731,179.3154109647697
2015,A02,20515.694000000003,1175.0966013434,17.458729755958743,BLOCO_OCDE,18.53498851514587,-5.806632997412764
2016,A02,21405.489,1160.88777800599,18.438895994552844,BLOCO_OCDE,17.976450341162945,2.572508168261556
2017,A02,20496.215,1122.96337165698,18.251899854718296,BLOCO_OCDE,17.41791216718002,4.788103646025554
2018,A02,21953.652000000002,1212.29967292774,18.10909669469866,BLOCO_OCDE,16.859373993197096,7.4126281438791075
2019,A02,18914.260000000002,1275.32454902464,14.830938535971496,BLOCO_OCDE,16.3008358192144,-9.01731236081944
2020,A02,20584.8947077266,1169.5904801581,17.600087429699347,BLOCO_OCDE,15.742297645231474,11.80126196528002
2021,A02,18610.9455173661,1161.19901207354,16.027352179823804,BLOCO_OCDE,15.18375947124855,5.555888251342855
2022,A02,19264.4184220589,531.24193663309,36.26298508011832,BLOCO_OCDE,14.625221297265853,147.94828292203408
2023,A02,17337.6795744119,501.23213082178,34.590120042756304,BLOCO_OCDE,14.066683123282928,145.9010396381457
2015,A03,6082.733,92.9033986565958,65.47374033628154,BLOCO_OCDE,64.51457974829054,1.4867346136846038
2016,A03,6358.251,102.9122219940145,61.783244757554684,BLOCO_OCDE,63.74363463480631,-3.0754284541239296
2017,A03,6335.6990000000005,100.7366283430244,62.89369720044557,BLOCO_OCDE,62.97268952132208,-0.1254390140820738
2018,A03,6717.385,104.30032707225871,64.40425632938074,BLOCO_OCDE,62.20174440783785,3.54091664552314
2019,A03,6813.380999999999,112.9754509753595,60.30850898294738,BLOCO_OCDE,61.43079929435362,-1.8269179699724192
2020,A03,6193.77373285035,92.8095198419006,66.73640531059029,BLOCO_OCDE,60.65985418086939,10.017417964115861
2021,A03,5308.8616217975805,86.0009879264578,61.73023996349156,BLOCO_OCDE,59.88890906738516,3.074577454791494
2022,A03,4674.88254693926,148.958063366912,31.3838837675013,BLOCO_OCDE,59.117963953900926,-46.91311799578575
2023,A03,4048.30848227543,129.767869178223,31.19653969747695,BLOCO_OCDE,58.347018840416695,-46.5327615403938
2015,B,262025.58299999998,1818.2751,144.10667725692332,BLOCO_OCDE,146.77695389603468,-1.819275143836807
2016,B,219423.307,1480.9981,148.15907393804218,BLOCO_OCDE,157.20584419136503,-5.7547289668889885
2017,B,275096.221,1518.8708,181.11890820470052,BLOCO_OCDE,167.63473448669902,8.04378266788821
2018,B,316844.0525868263,1677.1628,188.91669466245395,BLOCO_OCDE,178.06362478202936,6.095051638822935
2019,B,295058.966,1677.6885,175.87231837137824,BLOCO_OCDE,188.49251507736335,-6.695330422433687
2020,B,201063.918713829,1287.2361,156.19816653202082,BLOCO_OCDE,198.9214053726937,-21.477446713503657
2021,B,329283.385983204,1257.6053,261.83365001976694,BLOCO_OCDE,209.35029566802768,25.069634692545883
2022,B,461124.68029083405,1391.5437,331.3763558347712,BLOCO_OCDE,219.77918596335803,50.776951139503645
2023,B,408057.555549194,1452.868338835123,280.8634097404623,BLOCO_OCDE,230.20807625869202,22.004151333442934
2024,B,6905.0,54.6816,126.27648057116104,BLOCO_OCDE,240.63696655402237,-47.52407230714808
2015,B05_06,176292.5006364829,920.0053345263528,191.62117220466305,BLOCO_OCDE,191.14575217419042,0.24872121146557458
2016,B05_06,154821.48558610753,826.787077135272,187.25677972924694,BLOCO_OCDE,212.78000584771507,-11.995124267801227
2017,B05_06,193039.20122816024,750.0565975666008,257.36617990486974,BLOCO_OCDE,234.414259521247,9.791179269767248
2018,B05_06,221250.17729976127,776.8270168115996,284.81267066104124,BLOCO_OCDE,256.04851319477166,11.233870139440793
2019,B05_06,200369.52104349012,798.2388465596712,251.01449510639895,BLOCO_OCDE,277.6827668682963,-9.603862732520952
2020,B05_06,122827.6387935401,682.5057089610469,179.9657309541279,BLOCO_OCDE,299.31702054182097,-39.874541505071925
2021,B05_06,246988.81823614918,652.2999543267916,378.64301016402004,BLOCO_OCDE,320.9512742153529,17.975231938153
2022,B05_06,359255.85991013487,683.3594894323752,525.720159690102,BLOCO_OCDE,342.58552788887755,53.4566164921674
2023,B05_06,292017.97409240546,706.7973452823808,413.15658022985076,BLOCO_OCDE,364.2197815624022,13.436062823804695
2015,B07_08,31651.00954747628,185.49912643231582,170.62619191915695,BLOCO_OCDE,181.6058087194142,-6.0458511088822275
2016,B07_08,31838.215054780478,160.7627564239814,198.0447198281,BLOCO_OCDE,192.7681273207818,2.7372743516554054
2017,B07_08,38271.098421521136,176.2492787194958,217.1418725771374,BLOCO_OCDE,203.930445922153,6.478398355499904
2018,B07_08,39549.45275211033,182.4585164752028,216.7586008926327,BLOCO_OCDE,215.0927645235206,0.7744734569767209
2019,B07_08,40815.03756127418,188.0176838046786,217.08084439373644,BLOCO_OCDE,226.2550831248882,-4.054821047307811
2020,B07_08,44169.28776556574,159.6505628829326,276.66227395611423,BLOCO_OCDE,237.4174017262594,16.529905535359156
2021,B07_08,49173.24004885128,160.15277793316972,307.03956986229,BLOCO_OCDE,248.579720327627,23.517545782742523
2022,B07_08,51256.08392065889,155.2720550569317,330.1050140790979,BLOCO_OCDE,259.7420389289982,27.08955987264492
2023,B07_08,54248.32864879516,145.1665763406543,373.6971003676055,BLOCO_OCDE,270.9043575303658,37.944292876764685
2015,B09,54081.7738160408,237.29553904133138,227.9089359813924,BLOCO_OCDE,219.6304875881233,3.769261947272917
2016,B09,32764.007359111994,155.95016644074653,210.0928014819447,BLOCO_OCDE,226.79458095448535,-7.364276254860114
2017,B09,43786.221350318636,185.19412371390342,236.4341830735496,BLOCO_OCDE,233.95867432084924,1.0580965890178762
2018,B09,56129.96494812838,221.71446671319762,253.1632950263738,BLOCO_OCDE,241.1227676872113,4.993525685961631
2019,B09,53874.50839523571,222.4434696356502,242.1941560409892,BLOCO_OCDE,248.28686105357338,-2.453897474369182
2020,B09,34067.492154723455,134.34372815602057,253.5845373827876,BLOCO_OCDE,255.45095441993544,-0.7306361572952391
2021,B09,33121.12769820325,131.04726774003868,252.74184093564128,BLOCO_OCDE,262.6150477862975,-3.7595739215562918
2022,B09,47705.33646004053,158.86845551069308,300.2819930910047,BLOCO_OCDE,269.7791411526596,11.306601321369225
2023,B09,56258.25280799304,170.0360783769649,330.8606817152662,BLOCO_OCDE,276.94323451902164,19.46877210771556
2015,BTE,3926675.463,45381.9187,86.525109018804,BLOCO_OCDE,85.9830710934284,0.6304007503833198
2016,BTE,3906921.359,45105.2106,86.61796069742772,BLOCO_OCDE,87.98886691329699,-1.5580450845220417
2017,BTE,4105110.7879999997,45463.3477,90.29495177276617,BLOCO_OCDE,89.99466273316557,0.33367427631898483
2018,BTE,4325513.608000001,46339.2706,93.34444741993848,BLOCO_OCDE,92.00045855303415,1.4608501827516163
2019,BTE,4372215.107000001,46916.788,93.19084475689172,BLOCO_OCDE,94.00625437290319,-0.8673993251309686
